symbol,direction,regime,adx_value,signal_score,score_verdict,has_sweep,sweep_strength,has_bos,bos_type,has_ob,ob_valid,sl_source,result,pnl_pct,net_pnl_pct,win,rr,ema_strength,rsi_value,macd_hist_normalized,volume_ratio,created_at,entry_price,exit_price
AVAX/USDT,SELL,expansion,41.09446221149271,5,moderate,False,0.0,False,,False,False,atr,TP,2.9278,2.7278,True,2.0,-1.0,11.791188455835346,-0.29818,1.9276,2026-03-27 10:00:00+00:00,8.932,8.67048645
AVAX/USDT,SELL,trend,39.17266182381341,4,moderate,True,1.0,True,bullish,False,False,atr,SL,-1.7497,-1.9497,False,1.0,-1.0,16.26499994369079,-0.696678,0.9106,2026-04-07 03:00:00+00:00,8.644,8.79524782
AVAX/USDT,SELL,trend,38.091524466197306,5,moderate,False,0.0,False,,False,False,atr,SL,-1.3808,-1.5808,False,1.0,-0.8531500284529864,22.312467279636774,-0.176475,1.5974,2026-04-19 22:00:00+00:00,9.041,9.16584155
AVAX/USDT,SELL,compression,28.040024629272583,4,moderate,True,0.8,False,,False,False,structural,SL,-1.0,-1.2,False,1.0,-0.2626760899343054,44.251553059140484,0.121147,2.1851,2026-04-28 02:00:00+00:00,9.249,9.34149
AVAX/USDT,SELL,trend,29.744149265678118,4,moderate,False,0.0,False,,False,False,atr,SL,-1.2291,-1.4291,False,1.0,-0.4565114174851466,40.825242683083715,-0.007726,2.3774,2026-05-14 11:00:00+00:00,9.69,9.80910223
AVAX/USDT,SELL,expansion,23.066543166406802,5,moderate,True,0.8,True,bullish,False,False,atr,SL,-1.1986,-1.3986,False,1.0,-0.28838054314766376,31.30113142772073,-0.103812,1.8664,2026-05-17 23:00:00+00:00,9.22,9.33050795
AVAX/USDT,SELL,range,32.765825195033955,4,moderate,False,0.0,False,,False,False,atr,SL,-1.4872,-1.6872,False,1.0,-1.0,33.385608402804166,-0.000798,1.5794,2026-05-28 10:00:00+00:00,8.866,8.99785114
AVAX/USDT,SELL,range,21.18754489088785,2,weak,True,0.8,False,,True,True,structural,SL,-1.0,-1.2,False,1.0,-0.2202761700732932,44.089461067480116,-0.016206,0.7547,2026-05-29 19:00:00+00:00,8.807,8.89507
AVAX/USDT,SELL,trend,36.75434906553412,5,moderate,False,0.0,False,,False,False,atr,TP,3.4527,3.2527,True,2.0,-1.0,23.578159444059374,-0.242454,1.8866,2026-06-02 14:00:00+00:00,8.662,8.36292762
AVAX/USDT,SELL,trend,49.58890860898672,5,moderate,False,0.0,False,,False,False,atr,TP,4.4676,4.2676,True,2.0,-1.0,26.99460931455117,-0.296632,1.6577,2026-06-03 20:00:00+00:00,8.084,7.722843
AVAX/USDT,SELL,trend,54.34177700051373,5,moderate,False,0.0,False,,False,False,atr,SL,-4.6375,-4.8375,False,1.0,-1.0,26.642126702808856,-0.547649,1.6448,2026-06-06 04:00:00+00:00,6.371,6.66645655
AVAX/USDT,SELL,expansion,33.7155827176618,5,moderate,False,0.0,False,,False,False,atr,TP,4.4774,4.2774,True,2.0,-1.0,15.420004298284617,-0.50628,2.0061,2026-06-18 15:00:00+00:00,6.533,6.24049236
AVAX/USDT,SELL,range,47.0603906574924,4,moderate,False,0.0,False,,False,False,atr,TP,4.1339,3.9339,True,2.0,-1.0,30.455902944921494,0.095612,1.8876,2026-06-19 17:00:00+00:00,6.092,5.84016094
LINK/USDT,SELL,trend,40.858295622050896,5,moderate,False,0.0,False,,True,True,atr,TP,3.1666,2.9666,True,2.58,-0.5875963978799428,27.526660887668875,-0.102313,2.9712,2026-01-20 06:00:00+00:00,12.758,12.354
